name,phone,website_url,address1,city,state,zip,lat,lng
Hunan Wok,908-735-8883,,123 Main St,Clinton,NJ,08809,40.6367,-74.9099
Golden Dragon,908-782-5656,,456 Broad Ave,Flemington,NJ,08822,40.5123,-74.8592
China Garden,908-526-1211,,789 Route 22,Bridgewater,NJ,08807,40.5923,-74.6310
Panda House,212-555-0401,,321 5th Ave,New York,NY,10001,40.7484,-73.9967
Great Wall,212-555-0402,,88 Mott St,New York,NY,10013,40.7157,-73.9994
Jade Palace,212-555-0403,,15 Elizabeth St,New York,NY,10013,40.7162,-73.9978
Lucky Star,213-555-0501,,654 Elm St,Los Angeles,CA,90012,34.0522,-118.2437
Dragon House,213-555-0502,,987 Spring St,Los Angeles,CA,90012,34.0488,-118.2468
Szechuan Garden,415-555-0601,,222 Grant Ave,San Francisco,CA,94108,37.7922,-122.4058
Peking Duck House,415-555-0602,,333 Kearny St,San Francisco,CA,94108,37.7941,-122.4040
Ming Dynasty,617-555-0701,,45 Beach St,Boston,MA,02111,42.3520,-71.0585
Happy Garden,617-555-0702,,88 Tyler St,Boston,MA,02111,42.3509,-71.0622
Golden Wok,713-555-0801,,123 Bellaire Blvd,Houston,TX,77036,29.7064,-95.5371
China Star,713-555-0802,,456 Harwin Dr,Houston,TX,77036,29.7234,-95.5307
Bamboo Garden,312-555-0901,,2300 S Wentworth Ave,Chicago,IL,60616,41.8500,-87.6318
Imperial Palace,312-555-0902,,1234 S State St,Chicago,IL,60605,41.8673,-87.6270
Hong Kong Kitchen,206-555-1001,,666 S King St,Seattle,WA,98104,47.5985,-122.3243
Lotus Garden,206-555-1002,,789 Rainier Ave S,Seattle,WA,98144,47.5912,-122.3134
Shanghai Express,305-555-1101,,456 SW 8th St,Miami,FL,33130,25.7658,-80.2095
Fortune Cookie,305-555-1102,,789 Collins Ave,Miami Beach,FL,33139,25.7819,-80.1300
